term,Onecut2,Onecut3,Gria1,Gria2,Gria3,Gria4,Grid1,Grid2,Grik1,Grik2,Grik3,Grik4,Grik5,Grin1,Grin2a,Grin2b,Grin2c,Grin2d,Grin3a,Grin3b,Grm1,Grm5,Grm2,Grm3,Grm4,Grm7,Grm8,Slc17a6,Slc17a7,Slc17a8,Slc1a1,Slc1a2,Slc1a6,Gad1,Slc32a1,Slc6a1,Th,Trh
Grik3,-0.04592567961328751,0.003526657578948687,-0.022677256942901496,0.0055838185512200565,0.048963899057632855,0.02437637271580523,-0.05390818859051992,-0.07237766474425238,-0.04155255692577275,0.024889887314189233,NA,0.01724635220499876,0.011274691410568922,0.01128529848835928,-0.024071809177952253,0.017655683309946733,-0.007463833427568239,-0.012734650594618509,-0.04568973625926186,0.02514159611278738,-0.041869460775801545,-0.04762487398055218,-0.03667562856815227,0.017864280692323518,-0.035015894991638465,-0.09398716037208493,-0.029409481947607237,-0.10671694603262412,-0.009508868229700856,-0.006423535746676235,0.015929478639974813,0.027636374928172783,-0.029162996401167613,0.12707232629584073,0.09531173103164496,0.07534368271168616,0.03118638749241153,-0.05623360156013399
Grik4,-0.10484619567121368,0.01366215796725337,0.07600402048508678,0.03578554336442334,0.06834617015422023,0.0453662955746593,0.09761749714497739,0.1159165694034473,0.03808592150573997,0.01055609499733915,0.01724635220499876,NA,0.02095753346619023,0.059574232865395066,0.036596787212601574,0.06753203443895142,0.011671085264107301,0.01865804669888561,0.08944321834657051,0.008157924121961778,0.09439991035623793,0.05788501518902077,0.004518387430677953,0.02367818550131,0.019879734089249698,0.055137963577705666,0.024227241895041544,0.027379771092331685,0.029756393270379818,0.029834096867882853,-0.001061306284398247,0.016276956141473124,0.024803589931716268,0.03993239526035225,0.08240951538881763,0.04359349842684643,0.01983463529831183,0.04115581824453513
Grik5,-0.034696860232859277,-0.007073174131730251,0.06159398719692175,0.07708276852239174,0.08618416603378329,0.05285317667129348,0.09501712305626837,0.0913819869292326,0.04679463566032921,-0.024259642239162302,0.011274691410568922,0.02095753346619023,NA,0.06827998998208668,0.03818317150374251,0.040127055641703685,0.026764042184116158,0.02256506342301018,0.045215243813238555,0.011270264675699089,0.04459413445950887,0.0810716515484711,0.0218288123876856,0.02740525962527598,-0.0032512652896962424,0.061019324084190786,0.01940875290216287,0.035207689375172484,0.014317339148202204,0.018572232756142046,0.008005596374949341,0.011406595492106366,0.06802469632081248,0.039935258587407416,0.053347048857806556,-0.020382211317210002,0.0018336827523001303,0.05044420251948233
Grin1,-0.1744398818974114,0.05454703626272131,0.12275656574573109,0.0650417549459615,0.15057759355115619,0.08465820374398172,0.16753036021692655,0.1993169816455114,0.11660973609110238,-0.011685531652252923,0.01128529848835928,0.059574232865395066,0.06827998998208668,NA,0.09240619262120162,0.08394769803450625,0.007286729999539474,0.05003784461652105,0.1163692854165752,-0.009679633682194516,0.10598591056042868,0.1813081939928922,0.008671500908296725,0.06778034877794116,0.039224943817879235,0.07106689909108622,0.0655460267895953,0.0034710088735803455,0.01993550336209418,0.02811952674037796,0.04343041434950572,0.018141400034485063,0.09785884126720573,0.10150053421063945,0.15975442120983183,0.023951987972460752,0.020239612402627463,0.08195903683410051
Grin2a,-0.07536639115098585,0.015625711258143868,0.06437178375960952,0.04484226423402178,0.07328595320469618,0.03371360444349225,0.09839353144728047,0.12139405518439401,0.0799225213622718,-0.006514632184438215,-0.024071809177952253,0.036596787212601574,0.03818317150374251,0.09240619262120162,NA,0.0027585596699706,0.02865052344823822,0.06255155577495851,0.06810670082287298,0.014934940715906864,0.10064815351264401,0.10827138539822793,-0.007367532578459607,0.05556257952694837,0.06024330588222873,0.10920591485692833,0.04698877950211378,0.06921546659551418,0.00771978627297123,0.016880532401296916,0.008830787071097803,0.06186955770653292,0.08964649282318345,0.04168471313932639,0.06957370230051445,0.011648377003940322,0.017876265815723484,0.03932615916049578
Grin2b,-0.12639872873839086,0.022525879398018332,0.11319085861043769,0.11115470637013543,0.13046229310903032,0.12090004481400524,0.14751767241872238,0.14673472367124557,0.09769530936807065,0.036050184284253196,0.017655683309946733,0.06753203443895142,0.040127055641703685,0.08394769803450625,0.0027585596699706,NA,0.01917955805694762,0.046823874032552046,0.10382987455518199,-0.015789192737329226,0.07601590242635621,0.20569153005580829,0.009934490111638982,0.07010659025645728,-0.010533682611418144,0.12297483931709323,0.07878058923895437,-0.017019940909975596,-0.004352101837766936,0.0265689193910843,0.033046362962107466,0.0029352652066673827,0.03912367280876383,0.12149153554768263,0.09004641607054178,0.04139737244796176,0.0025647862651866503,0.01565857537068889
Grin2c,-0.05426882898610069,0.05751003327913838,0.026129696676262006,0.017241134102849213,-0.0025544192371985456,0.013874194873852153,0.009100984903158027,0.017736355411187857,0.012311632892751565,-0.007150805071703001,-0.007463833427568239,0.011671085264107301,0.026764042184116158,0.007286729999539474,0.02865052344823822,0.01917955805694762,NA,0.003742504428626063,-0.007667956772649493,-0.003274131894146028,-2.2055368186640266e-4,0.022928042753935122,-0.0038910802066619205,0.019097069690736847,0.01845306837890182,-0.011859939984219206,-0.026737312482646724,-0.021587316266586616,-0.003108429048843335,-0.007393735425971053,-4.0726866434431146e-4,7.417368485775978e-4,-0.018018561128686685,0.061849412017961576,0.06487658288985579,0.019216917729286177,-0.009161308958484646,-0.014073586825690593
Grin2d,-0.07593715097855672,-0.005132503739182703,0.012023211070764902,0.01550990528514348,0.05012285473540947,0.002710199466459825,0.03940424010378983,0.0524137736273561,0.027706429296480397,0.014089378044633791,-0.012734650594618509,0.01865804669888561,0.02256506342301018,0.05003784461652105,0.06255155577495851,0.046823874032552046,0.003742504428626063,NA,0.03251167147673941,-0.009433615734671292,0.05928270486092623,0.08543983614086226,0.010060095571938142,0.01365319702793149,0.002543353833054066,0.0503131756098707,-0.013622256114631564,0.02160574908611453,-0.004163412997372458,-1.140067476783961e-4,-0.004209699611696381,0.026219593348338406,0.043400009325202826,0.048055622237329586,0.046129570225843367,0.01549511856972797,0.02609209722130753,0.026556062450446307
Grin3a,-0.15942510763758458,-0.007812900004772185,0.11062630680458503,0.07871030236472794,0.12300206094011273,0.09777403479084164,0.13788949977741063,0.2051521051996698,0.08922728384955042,0.022011111266154543,-0.04568973625926186,0.08944321834657051,0.045215243813238555,0.1163692854165752,0.06810670082287298,0.10382987455518199,-0.007667956772649493,0.03251167147673941,NA,0.010143894527434664,0.11621952534436568,0.21807699624239293,-0.01323936117533247,0.09610944970216027,0.004165599421002829,0.18411939104958877,0.09303006920075463,0.026844425533325823,-0.014542869014750354,0.03964581665788915,0.05958731874126421,0.023986303806762387,0.10262889883477644,0.08553518818841566,0.07632134500327457,0.021872478455623963,0.009569987459958521,0.04824752812591918
Grin3b,-0.010666525813070094,0.027697633826401395,-0.010170324941498412,-0.007299277973851392,-0.025256056684023313,-0.0252671785861836,-0.0065287593602525425,-0.032442845614213546,0.01041738012927443,-0.013532029359763961,0.02514159611278738,0.008157924121961778,0.011270264675699089,-0.009679633682194516,0.014934940715906864,-0.015789192737329226,-0.003274131894146028,-0.009433615734671292,0.010143894527434664,NA,-0.007531055877599183,-0.01844760801843338,-0.004792002223371102,-0.004731980641327553,-0.009331373651140463,4.5283673824129733e-4,0.006975654162721592,0.016839543606808782,-0.0022271081312607295,-0.005297418094100321,-0.011907738748373132,-0.013629099980763957,-0.012285472960288351,-0.015975182867681435,-0.020705356896240635,-0.00858611505057824,-0.0013629842383809663,0.015016624021410614
